@relation class_relation-weka.filters.unsupervised.attribute.Remove-R14-15

@attribute tagName {BODY,DIV,TD,FONT,H1,H2,H3,H4,H5,LI,SPAN,UL,P,EM}
@attribute wordCount_AE numeric
@attribute densityinHTML_AE numeric
@attribute LinkCount_AE numeric
@attribute wordCountinLink_AE numeric
@attribute meanofWordinLinks_AE numeric
@attribute meanofWordinLinksAllWords_AE numeric
@attribute wordCount numeric
@attribute DensityinHTML numeric
@attribute LinkCount numeric
@attribute wordCountinLink numeric
@attribute meanofWordinLinks numeric
@attribute meanofWordinLinksAllWords numeric
@attribute tag_idORclass numeric
@attribute class {IRRELEVANT,MAIN,HEADLINE,INFORMATIONABOUTARTICLE}

@data
UL,11,0.023707,9,12,1.333333,1.090909,11,0.023707,9,12,1.333333,1.090909,0,IRRELEVANT
UL,13,0.028017,5,13,2.6,1,13,0.028017,5,13,2.6,1,0,IRRELEVANT
TD,33,0.071121,12,21,1.75,0.636364,33,0.071121,12,21,1.75,0.636364,0,IRRELEVANT
P,16,0.034483,0,0,0,0,16,0.034483,0,0,0,0,0,HEADLINE
SPAN,7,0.015086,0,0,0,0,7,0.015086,0,0,0,0,0,INFORMATIONABOUTARTICLE
TD,2,0.00431,0,0,0,0,6,0.012931,4,7,1.75,1.166667,0,IRRELEVANT
DIV,179,0.385776,0,0,0,0,179,0.385776,0,0,0,0,0,MAIN
TD,2,0.00431,0,0,0,0,102,0.219828,14,81,5.785714,0.794118,0,IRRELEVANT
UL,40,0.086207,5,41,8.2,1.025,40,0.086207,5,41,8.2,1.025,0,IRRELEVANT
TD,24,0.051724,2,14,7,0.583333,24,0.051724,2,14,7,0.583333,0,IRRELEVANT
TD,21,0.045259,4,24,6,1.142857,21,0.045259,4,24,6,1.142857,0,IRRELEVANT
UL,7,0.015086,1,9,9,1.285714,7,0.015086,1,9,9,1.285714,0,IRRELEVANT
UL,8,0.017241,1,10,10,1.25,8,0.017241,1,10,10,1.25,0,IRRELEVANT
UL,4,0.008621,1,6,6,1.5,4,0.008621,1,6,6,1.5,0,IRRELEVANT
TD,1,0.002155,0,0,0,0,1,0.002155,0,0,0,0,0,IRRELEVANT
TD,2,0.00431,0,0,0,0,57,0.122845,20,59,2.95,1.035088,0,IRRELEVANT
TD,8,0.017241,4,9,2.25,1.125,8,0.017241,4,9,2.25,1.125,0,IRRELEVANT
TD,1,0.002155,0,0,0,0,1,0.002155,0,0,0,0,0,IRRELEVANT
TD,2,0.00431,0,0,0,0,46,0.099138,16,51,3.1875,1.108696,0,IRRELEVANT
TD,58,0.125,8,18,2.25,0.310345,58,0.125,8,18,2.25,0.310345,0,IRRELEVANT
DIV,2,0.00404,0,0,0,0,33,0.066667,26,34,1.307692,1.030303,1,IRRELEVANT
UL,8,0.016162,8,10,1.25,1.25,8,0.016162,8,10,1.25,1.25,1,IRRELEVANT
UL,1,0.00202,1,3,3,3,1,0.00202,1,3,3,3,1,IRRELEVANT
TD,2,0.00404,0,0,0,0,44,0.088889,5,48,9.6,1.090909,0,IRRELEVANT
H1,9,0.018182,0,0,0,0,9,0.018182,0,0,0,0,0,HEADLINE
DIV,167,0.337374,0,0,0,0,167,0.337374,0,0,0,0,0,MAIN
TD,2,0.00404,0,0,0,0,11,0.022222,4,13,3.25,1.181818,0,IRRELEVANT
DIV,9,0.018182,6,7,1.166667,0.777778,9,0.018182,6,7,1.166667,0.777778,0,IRRELEVANT
UL,6,0.012121,6,7,1.166667,1.166667,6,0.012121,6,7,1.166667,1.166667,0,IRRELEVANT
DIV,10,0.020202,6,11,1.833333,1.1,10,0.020202,6,11,1.833333,1.1,0,IRRELEVANT
UL,9,0.018182,6,11,1.833333,1.222222,9,0.018182,6,11,1.833333,1.222222,0,IRRELEVANT
DIV,8,0.016162,4,6,1.5,0.75,8,0.016162,4,6,1.5,0.75,0,IRRELEVANT
DIV,6,0.012121,1,4,4,0.666667,6,0.012121,1,4,4,0.666667,1,IRRELEVANT
DIV,20,0.015026,8,13,1.625,0.65,26,0.019534,8,13,1.625,0.5,1,IRRELEVANT
DIV,0,0.001503,1,2,2,1,0,0,1,2,2,0,0,IRRELEVANT
DIV,2,0.001503,0,0,0,0,4,0.003005,12,16,1.333333,4,0,IRRELEVANT
DIV,2,0.001503,0,0,0,0,6,0.004508,3,6,2,1,1,IRRELEVANT
DIV,7,0.006011,3,6,2,0.75,7,0.005259,3,6,2,0.857143,0,IRRELEVANT
DIV,156,0.117956,32,96,3,0.611465,156,0.117205,32,96,3,0.615385,0,IRRELEVANT
DIV,1005,0.755071,0,0,0,0,1026,0.770849,0,0,0,0,0,MAIN
H1,4,0.003005,0,0,0,0,4,0.003005,0,0,0,0,0,HEADLINE
DIV,13,0.009767,0,0,0,0,13,0.009767,0,0,0,0,0,IRRELEVANT
DIV,6,0.004508,0,0,0,0,9,0.006762,0,0,0,0,0,INFORMATIONABOUTARTICLE
DIV,27,0.020285,10,19,1.9,0.703704,27,0.020285,10,19,1.9,0.703704,0,IRRELEVANT
DIV,45,0.033809,19,30,1.578947,0.666667,45,0.033809,19,30,1.578947,0.666667,0,IRRELEVANT
DIV,9,0.007513,3,9,3,0.9,9,0.006762,3,9,3,1,0,IRRELEVANT
DIV,27,0.020285,3,7,2.333333,0.259259,27,0.020285,3,7,2.333333,0.259259,0,IRRELEVANT
TD,2,0.00227,0,0,0,0,170,0.192963,106,193,1.820755,1.135294,0,IRRELEVANT
DIV,5,0.005675,1,2,2,0.4,170,0.192963,106,193,1.820755,1.135294,1,IRRELEVANT
DIV,2,0.00227,0,0,0,0,149,0.169126,99,183,1.848485,1.228188,1,IRRELEVANT
DIV,2,0.00227,0,0,0,0,149,0.169126,99,183,1.848485,1.228188,1,IRRELEVANT
DIV,2,0.00227,0,0,0,0,19,0.021566,16,21,1.3125,1.105263,1,IRRELEVANT
DIV,19,0.021566,16,21,1.3125,1.105263,19,0.021566,16,21,1.3125,1.105263,1,IRRELEVANT
UL,11,0.012486,10,13,1.3,1.181818,11,0.012486,10,13,1.3,1.181818,0,IRRELEVANT
UL,8,0.009081,6,10,1.666667,1.25,8,0.009081,6,10,1.666667,1.25,0,IRRELEVANT
DIV,2,0.00227,0,0,0,0,130,0.14756,83,164,1.975904,1.261538,1,IRRELEVANT
DIV,2,0.00227,0,0,0,0,18,0.020431,12,19,1.583333,1.055556,1,IRRELEVANT
DIV,18,0.020431,12,19,1.583333,1.055556,18,0.020431,12,19,1.583333,1.055556,0,IRRELEVANT
